step,episode_reward,replay_return,imagined_return,imagination_gap,steps_per_second
500.0,34.23277282714844,34.23277282714844,,,1.6011804503504479
1000.0,32.01578140258789,32.01578140258789,,,3.198959274128972
1500.0,37.19529342651367,37.19529342651367,,,4.793451949055155
2000.0,53.99501037597656,53.99501037597656,,,6.384631699713803
2500.0,37.40460968017578,37.40460968017578,,,7.972747627684337
3000.0,127.79441833496094,127.79441833496094,,,5.929753704786331
3500.0,174.57635498046875,174.57635498046875,11.165482521057129,-163.41087245941162,6.167334607798791
4000.0,80.32012939453125,80.32012939453125,14.114944458007812,-66.20518493652344,6.423219139383026
4500.0,137.7467498779297,137.7467498779297,31.80856704711914,-105.93818283081055,6.6431884922356375
5000.0,79.36519622802734,79.36519622802734,22.27779769897461,-57.087398529052734,6.785885845265406
5500.0,140.2765350341797,140.2765350341797,22.707496643066406,-117.56903839111328,6.873357638134501
6000.0,248.7425994873047,248.7425994873047,35.540924072265625,-213.20167541503906,6.982689001292051
6500.0,225.28150939941406,225.28150939941406,28.780250549316406,-196.50125885009766,7.113298669907655
7000.0,196.84388732910156,196.84388732910156,37.212093353271484,-159.63179397583008,7.226742870539532
7500.0,392.6489562988281,392.6489562988281,46.269508361816406,-346.3794479370117,7.3193609358090805
8000.0,231.19570922851562,231.19570922851562,34.808631896972656,-196.38707733154297,7.346938254663456
8500.0,180.16624450683594,180.16624450683594,40.18406295776367,-139.98218154907227,7.379586897885784
9000.0,204.37667846679688,204.37667846679688,40.7811164855957,-163.59556198120117,7.458026793459512
9500.0,430.9931640625,430.9931640625,40.53722381591797,-390.45594024658203,7.528825407622365
10000.0,428.836669921875,428.836669921875,66.01579284667969,-362.8208770751953,6.213359799762734
10500.0,389.8586730957031,389.8586730957031,55.573265075683594,-334.28540802001953,6.310040129168577
11000.0,713.19384765625,713.19384765625,63.92097091674805,-649.272876739502,6.400144892307193
11500.0,682.642578125,682.642578125,65.52535247802734,-617.1172256469727,6.483736687112916
12000.0,573.42333984375,573.42333984375,56.177181243896484,-517.2461585998535,6.558986225824092
12500.0,761.8026123046875,761.8026123046875,82.64028930664062,-679.1623229980469,6.629959542156746
13000.0,791.8731079101562,791.8731079101562,77.47776794433594,-714.3953399658203,6.699731401638705
13500.0,651.3900146484375,651.3900146484375,71.36127471923828,-580.0287399291992,6.764937152631254
14000.0,844.7493286132812,844.7493286132812,87.36425018310547,-757.3850784301758,6.829462712187346
14500.0,732.3035888671875,732.3035888671875,71.56803894042969,-660.7355499267578,6.88915486698609
15000.0,899.2352294921875,899.2352294921875,86.91433715820312,-812.3208923339844,6.94530846208151
15500.0,779.869384765625,779.869384765625,77.73847961425781,-702.1309051513672,6.999206572814466
16000.0,957.51513671875,957.51513671875,99.96690368652344,-857.5482330322266,7.051911533059768
16500.0,925.325927734375,925.325927734375,87.2140121459961,-838.1119155883789,7.102778641380282
17000.0,891.794189453125,891.794189453125,88.64030456542969,-803.1538848876953,7.151010601141791
17500.0,954.07568359375,954.07568359375,103.68766784667969,-850.3880157470703,7.194021359067441
18000.0,934.9334106445312,934.9334106445312,102.26383972167969,-832.6695709228516,7.236207934885825
18500.0,934.455810546875,934.455810546875,101.20930480957031,-833.2465057373047,7.277330441748342
19000.0,964.65283203125,964.65283203125,117.29867553710938,-847.3541564941406,7.314626762007839
19500.0,965.7560424804688,965.7560424804688,105.67770385742188,-860.0783386230469,7.355038007761377
20000.0,979.6339721679688,979.6339721679688,122.27374267578125,-857.3602294921875,6.690363547643192
20500.0,975.0469970703125,975.0469970703125,125.4693374633789,-849.5776596069336,6.7361574755431235
21000.0,943.8619384765625,943.8619384765625,107.89389038085938,-835.9680480957031,6.781945987404113
21500.0,987.01953125,987.01953125,135.2340087890625,-851.7855224609375,6.826179644566307
22000.0,986.4025268554688,986.4025268554688,128.32070922851562,-858.0818176269531,6.869140016172049
22500.0,967.3168334960938,967.3168334960938,129.59280395507812,-837.7240295410156,6.9111017676802895
23000.0,941.2083740234375,941.2083740234375,120.34352111816406,-820.8648529052734,6.952654612305233
23500.0,878.611083984375,878.611083984375,118.82725524902344,-759.7838287353516,6.9933251274711115
24000.0,877.60791015625,877.60791015625,145.23060607910156,-732.3773040771484,7.032479321621867
24500.0,950.6868896484375,950.6868896484375,143.79937744140625,-806.8875122070312,7.0711039790363825
25000.0,951.6608276367188,951.6608276367188,147.82688903808594,-803.8339385986328,7.109270038410667
25500.0,934.739501953125,934.739501953125,127.72284698486328,-807.0166549682617,7.145330256875703
26000.0,896.5543212890625,896.5543212890625,144.61631774902344,-751.9380035400391,7.181611709928579
26500.0,983.3944091796875,983.3944091796875,143.66986083984375,-839.7245483398438,7.216782140464219
27000.0,956.57470703125,956.57470703125,129.2440643310547,-827.3306427001953,7.251061444586518
27500.0,946.7202758789062,946.7202758789062,140.9496612548828,-805.7706146240234,7.284340422994556
28000.0,964.7220458984375,964.7220458984375,138.3795166015625,-826.342529296875,7.3169415931218165
28500.0,956.3931884765625,956.3931884765625,133.2653045654297,-823.1278839111328,7.348419816864482
29000.0,961.8408203125,961.8408203125,154.0056915283203,-807.8351287841797,7.380080100095237
29500.0,950.6939086914062,950.6939086914062,138.38088989257812,-812.3130187988281,7.41067381993955
30000.0,990.246337890625,990.246337890625,160.00515747070312,-830.2411804199219,6.961009628135551
30500.0,963.7269897460938,963.7269897460938,142.0345458984375,-821.6924438476562,6.992632005710038
31000.0,968.6640014648438,968.6640014648438,156.6240234375,-812.0399780273438,7.022413472706099
31500.0,954.4188232421875,954.4188232421875,144.85743713378906,-809.5613861083984,7.0515125792643
32000.0,973.4886474609375,973.4886474609375,144.72906494140625,-828.7595825195312,7.079621454826456
32500.0,989.9224853515625,989.9224853515625,168.38522338867188,-821.5372619628906,7.1069111485057
33000.0,988.6638793945312,988.6638793945312,166.32992553710938,-822.3339538574219,7.133395218846712
33500.0,945.368896484375,945.368896484375,151.94281005859375,-793.4260864257812,7.159091878938548
34000.0,949.3536376953125,949.3536376953125,162.33067321777344,-787.0229644775391,7.1853736151861405
34500.0,971.4512329101562,971.4512329101562,169.9620361328125,-801.4891967773438,7.212281779923993
35000.0,969.8595581054688,969.8595581054688,151.64642333984375,-818.213134765625,7.238707269883023
35500.0,985.93701171875,985.93701171875,159.05674743652344,-826.8802642822266,7.264813670801843
36000.0,948.9710083007812,948.9710083007812,155.09042358398438,-793.8805847167969,7.289880370475418
36500.0,983.1282348632812,983.1282348632812,174.25750732421875,-808.8707275390625,7.314085413299183
37000.0,946.0388793945312,946.0388793945312,162.5912628173828,-783.4476165771484,7.337977909988863
37500.0,962.5565795898438,962.5565795898438,170.94078063964844,-791.6157989501953,7.36164210594778
38000.0,922.2275390625,922.2275390625,154.67807006835938,-767.5494689941406,7.384787358813051
38500.0,952.89697265625,952.89697265625,152.89205932617188,-800.0049133300781,7.407289624479397
39000.0,988.1128540039062,988.1128540039062,175.03201293945312,-813.0808410644531,7.429384100118195
39500.0,949.0736083984375,949.0736083984375,156.93240356445312,-792.1412048339844,7.450802968855222
40000.0,964.3427734375,964.3427734375,157.1379852294922,-807.2047882080078,7.1092092634820965
40500.0,991.66845703125,991.66845703125,179.31771850585938,-812.3507385253906,7.1335120650229955
41000.0,978.0350952148438,978.0350952148438,176.42535400390625,-801.6097412109375,7.157379049107441
41500.0,983.9915771484375,983.9915771484375,172.63262939453125,-811.3589477539062,7.180723979122412
42000.0,988.835205078125,988.835205078125,177.69595336914062,-811.1392517089844,7.2035748279073415
42500.0,993.4317016601562,993.4317016601562,182.33599853515625,-811.095703125,7.225847082508147
43000.0,902.0463256835938,902.0463256835938,170.06736755371094,-731.9789581298828,7.247818131773918
43500.0,943.724609375,943.724609375,160.4722900390625,-783.2523193359375,7.269522600662084
44000.0,981.0079345703125,981.0079345703125,181.175048828125,-799.8328857421875,7.290972762876875
44500.0,963.051513671875,963.051513671875,179.3336181640625,-783.7178955078125,7.311984189804125
45000.0,955.9772338867188,955.9772338867188,156.09844970703125,-799.8787841796875,7.332655967665221
45500.0,972.4091186523438,972.4091186523438,160.89564514160156,-811.5134735107422,7.352956385046788
46000.0,968.8606567382812,968.8606567382812,161.91696166992188,-806.9436950683594,7.372704703221335
46500.0,990.4288940429688,990.4288940429688,181.92715454101562,-808.5017395019531,7.39088134259231
