episode/eval_length,episode/eval_score,episode/length,episode/score,step
500.0,22.20206069946289,,,0
500.0,102.7258529663086,,,10016
,,500.0,65.1224365234375,16000
,,500.0,95.12390899658203,16001
,,500.0,104.49320220947266,16002
,,500.0,89.9449691772461,16003
,,500.0,142.38491821289062,16004
,,500.0,56.63311004638672,16005
,,500.0,70.0880355834961,16006
,,500.0,107.18718719482422,16007
,,500.0,83.72943115234375,16008
,,500.0,53.0875358581543,16009
,,500.0,111.66693878173828,16010
,,500.0,86.5245132446289,16011
,,500.0,58.01356506347656,16012
,,500.0,93.69324493408203,16013
,,500.0,72.27297973632812,16014
,,500.0,91.49201965332031,16015
500.0,132.18948364257812,,,20000
500.0,257.8136901855469,,,30016
,,500.0,190.27525329589844,32000
,,500.0,219.2738494873047,32001
,,500.0,176.9258575439453,32002
,,500.0,179.63153076171875,32003
,,500.0,135.98426818847656,32004
,,500.0,219.42239379882812,32005
,,500.0,138.0642852783203,32006
,,500.0,212.11846923828125,32007
,,500.0,158.3692169189453,32008
,,500.0,227.5157012939453,32009
,,500.0,156.478271484375,32010
,,500.0,256.7346496582031,32011
,,500.0,235.16610717773438,32012
,,500.0,229.3905029296875,32013
,,500.0,196.957763671875,32014
,,500.0,212.9274139404297,32015
500.0,282.32696533203125,,,40000
,,500.0,226.04739379882812,48000
,,500.0,297.6042785644531,48001
,,500.0,251.03416442871094,48002
,,500.0,348.46142578125,48003
,,500.0,183.2256317138672,48004
,,500.0,319.6759033203125,48005
,,500.0,283.87396240234375,48006
,,500.0,291.8511962890625,48007
,,500.0,221.8074493408203,48008
,,500.0,210.91383361816406,48009
,,500.0,268.3888244628906,48010
,,500.0,306.0894775390625,48011
,,500.0,281.369384765625,48012
,,500.0,292.0428771972656,48013
,,500.0,296.662841796875,48014
,,500.0,318.23565673828125,48015
500.0,289.7635192871094,,,50016
500.0,370.01422119140625,,,60000
,,500.0,309.0906982421875,64000
,,500.0,314.384521484375,64001
,,500.0,310.41748046875,64002
,,500.0,410.8957824707031,64003
,,500.0,260.7999572753906,64004
,,500.0,264.5327453613281,64005
,,500.0,201.8409881591797,64006
,,500.0,327.751708984375,64007
,,500.0,271.4230041503906,64008
,,500.0,330.8374938964844,64009
,,500.0,272.644287109375,64010
,,500.0,305.2216796875,64011
,,500.0,326.263916015625,64012
,,500.0,310.41021728515625,64013
,,500.0,284.8143310546875,64014
,,500.0,263.1264343261719,64015
500.0,328.4271240234375,,,70016
500.0,382.4322509765625,,,80000
,,500.0,399.2395324707031,80000
,,500.0,357.00347900390625,80001
,,500.0,432.7110900878906,80002
,,500.0,259.80047607421875,80003
,,500.0,338.63897705078125,80004
,,500.0,432.5726318359375,80005
,,500.0,306.3511047363281,80006
,,500.0,401.52459716796875,80007
,,500.0,416.7354736328125,80008
,,500.0,246.07676696777344,80009
,,500.0,388.1241455078125,80010
,,500.0,363.508056640625,80011
,,500.0,366.4217224121094,80012
,,500.0,362.90948486328125,80013
,,500.0,329.6925048828125,80014
,,500.0,398.07269287109375,80015
500.0,427.868408203125,,,90016
,,500.0,400.1927185058594,96000
,,500.0,372.3981628417969,96001
,,500.0,424.5160827636719,96002
,,500.0,458.5578308105469,96003
,,500.0,457.7865295410156,96004
,,500.0,447.5914306640625,96005
,,500.0,426.8052673339844,96006
,,500.0,438.5807800292969,96007
,,500.0,375.6374816894531,96008
,,500.0,412.3458251953125,96009
,,500.0,418.560546875,96010
,,500.0,406.0906066894531,96011
,,500.0,354.6967468261719,96012
,,500.0,453.08245849609375,96013
,,500.0,342.28955078125,96014
,,500.0,327.0582580566406,96015
500.0,486.18701171875,,,100000
500.0,535.7733764648438,,,110016
,,500.0,508.9461669921875,112000
,,500.0,440.5295104980469,112001
,,500.0,515.5723266601562,112002
,,500.0,469.361083984375,112003
,,500.0,555.0983276367188,112004
,,500.0,482.1563415527344,112005
,,500.0,443.3330993652344,112006
,,500.0,490.1282043457031,112007
,,500.0,546.361083984375,112008
,,500.0,394.7063293457031,112009
,,500.0,424.2940673828125,112010
,,500.0,492.5468444824219,112011
,,500.0,540.5145263671875,112012
,,500.0,425.550048828125,112013
