episode/eval_length,episode/eval_score,episode/length,episode/score,step
500.0,22.20206069946289,,,0
500.0,91.36273193359375,,,10016
,,500.0,117.21371459960938,16000
,,500.0,66.49407958984375,16001
,,500.0,108.5174331665039,16002
,,500.0,100.196533203125,16003
,,500.0,47.964786529541016,16004
,,500.0,61.14264678955078,16005
,,500.0,74.08026123046875,16006
,,500.0,123.20468139648438,16007
,,500.0,56.50060272216797,16008
,,500.0,65.72705078125,16009
,,500.0,88.64891052246094,16010
,,500.0,155.93199157714844,16011
,,500.0,46.82817077636719,16012
,,500.0,81.01742553710938,16013
,,500.0,58.941341400146484,16014
,,500.0,76.8768081665039,16015
500.0,107.2080078125,,,20000
500.0,106.72734832763672,,,30016
,,500.0,102.73454284667969,32000
,,500.0,68.43246459960938,32001
,,500.0,105.83748626708984,32002
,,500.0,56.13667297363281,32003
,,500.0,153.0272216796875,32004
,,500.0,200.27125549316406,32005
,,500.0,68.30472564697266,32006
,,500.0,121.68268585205078,32007
,,500.0,77.91781616210938,32008
,,500.0,83.49380493164062,32009
,,500.0,158.13137817382812,32010
,,500.0,52.157691955566406,32011
,,500.0,185.66900634765625,32012
,,500.0,180.82614135742188,32013
,,500.0,50.591453552246094,32014
,,500.0,98.41929626464844,32015
500.0,198.72634887695312,,,40000
,,500.0,99.48626708984375,48000
,,500.0,212.7191162109375,48001
,,500.0,166.14425659179688,48002
,,500.0,149.94395446777344,48003
,,500.0,62.99866485595703,48004
,,500.0,176.81588745117188,48005
,,500.0,217.8984832763672,48006
,,500.0,143.72802734375,48007
,,500.0,154.52076721191406,48008
,,500.0,220.44447326660156,48009
,,500.0,178.6991424560547,48010
,,500.0,159.11122131347656,48011
,,500.0,206.81793212890625,48012
,,500.0,150.50816345214844,48013
,,500.0,244.86172485351562,48014
,,500.0,112.75609588623047,48015
500.0,195.28160095214844,,,50016
500.0,202.22607421875,,,60000
,,500.0,246.86427307128906,64000
,,500.0,245.4878387451172,64001
,,500.0,181.13961791992188,64002
,,500.0,154.4278564453125,64003
,,500.0,206.59437561035156,64004
,,500.0,168.19522094726562,64005
,,500.0,240.19815063476562,64006
,,500.0,221.91326904296875,64007
,,500.0,260.4309387207031,64008
,,500.0,223.2070770263672,64009
,,500.0,159.22738647460938,64010
,,500.0,231.7947998046875,64011
,,500.0,227.33399963378906,64012
,,500.0,225.25631713867188,64013
,,500.0,220.65687561035156,64014
,,500.0,167.87599182128906,64015
500.0,310.5633239746094,,,70016
500.0,369.5295104980469,,,80000
,,500.0,301.7301940917969,80000
,,500.0,362.4667053222656,80001
,,500.0,215.756103515625,80002
,,500.0,382.0218811035156,80003
,,500.0,282.18121337890625,80004
,,500.0,322.5182800292969,80005
,,500.0,233.8363494873047,80006
,,500.0,333.2716979980469,80007
,,500.0,309.6864318847656,80008
,,500.0,309.313720703125,80009
,,500.0,270.8150634765625,80010
,,500.0,251.6754150390625,80011
,,500.0,231.86563110351562,80012
,,500.0,357.2060546875,80013
,,500.0,277.7320556640625,80014
,,500.0,375.8338928222656,80015
500.0,401.4786071777344,,,90016
,,500.0,462.0074157714844,96000
,,500.0,386.22088623046875,96001
,,500.0,434.3665771484375,96002
,,500.0,316.9444274902344,96003
,,500.0,490.1676940917969,96004
,,500.0,339.2954406738281,96005
,,500.0,469.5005187988281,96006
,,500.0,420.8726501464844,96007
,,500.0,322.59912109375,96008
,,500.0,375.82958984375,96009
,,500.0,339.1024475097656,96010
,,500.0,459.0755615234375,96011
,,500.0,363.17083740234375,96012
,,500.0,323.8199157714844,96013
,,500.0,349.4584045410156,96014
,,500.0,399.8759765625,96015
500.0,418.5340881347656,,,100000
500.0,396.78607177734375,,,110016
,,500.0,396.7445373535156,112000
,,500.0,428.0460205078125,112001
,,500.0,411.3389892578125,112002
,,500.0,397.42706298828125,112003
,,500.0,421.89837646484375,112004
,,500.0,410.93505859375,112005
,,500.0,408.03009033203125,112006
,,500.0,431.9851379394531,112007
,,500.0,437.7185363769531,112008
,,500.0,447.1255187988281,112009
,,500.0,424.9803771972656,112010
,,500.0,410.0583190917969,112011
,,500.0,317.80743408203125,112012
,,500.0,418.679931640625,112013
,,500.0,410.9423522949219,112014
,,500.0,376.3546447753906,112015
500.0,395.7301940917969,,,120000
,,500.0,322.6425476074219,128000
,,500.0,408.5476379394531,128001
,,500.0,362.70904541015625,128002
,,500.0,452.0401611328125,128003
,,500.0,442.615478515625,128004
,,500.0,492.4161071777344,128005
,,500.0,420.9140930175781,128006
,,500.0,432.70050048828125,128007
,,500.0,468.41705322265625,128008
,,500.0,335.3970031738281,128009
,,500.0,390.0467834472656,128010
,,500.0,440.2514343261719,128011
,,500.0,447.9897766113281,128012
,,500.0,419.831787109375,128013
,,500.0,369.68170166015625,128014
,,500.0,501.0794677734375,128015
500.0,488.9021911621094,,,130016
500.0,511.421875,,,140000
,,500.0,391.5890808105469,144000
,,500.0,555.9384765625,144001
,,500.0,433.2897644042969,144002
,,500.0,442.69439697265625,144003
,,500.0,450.8279724121094,144004
,,500.0,534.3670043945312,144005
,,500.0,423.8584289550781,144006
,,500.0,421.6337890625,144007
,,500.0,485.228515625,144008
,,500.0,419.5874328613281,144009
,,500.0,504.34259033203125,144010
,,500.0,472.681396484375,144011
,,500.0,470.7935485839844,144012
,,500.0,426.52313232421875,144013
,,500.0,396.2679748535156,144014
,,500.0,454.88165283203125,144015
500.0,485.6644592285156,,,150016
500.0,558.5977783203125,,,160000
,,500.0,533.3663940429688,160000
,,500.0,517.8775634765625,160001
,,500.0,459.3326110839844,160002
,,500.0,435.4979553222656,160003
,,500.0,523.5093383789062,160004
,,500.0,582.0214233398438,160005
,,500.0,534.5195922851562,160006
,,500.0,640.7532348632812,160007
,,500.0,578.251953125,160008
,,500.0,460.8094787597656,160009
,,500.0,465.49090576171875,160010
,,500.0,581.4247436523438,160011
,,500.0,501.93743896484375,160012
,,500.0,492.6126708984375,160013
,,500.0,348.5165100097656,160014
,,500.0,483.1825256347656,160015
500.0,624.24658203125,,,170016
,,500.0,581.3809814453125,176000
,,500.0,535.7645263671875,176001
,,500.0,587.6909790039062,176002
,,500.0,584.8642578125,176003
,,500.0,516.4475708007812,176004
,,500.0,632.6476440429688,176005
,,500.0,535.9747924804688,176006
,,500.0,464.3013916015625,176007
,,500.0,634.4623413085938,176008
,,500.0,546.59912109375,176009
,,500.0,427.6825256347656,176010
,,500.0,547.6249389648438,176011
,,500.0,540.2549438476562,176012
,,500.0,536.0491333007812,176013
,,500.0,590.8914794921875,176014
,,500.0,561.8935546875,176015
500.0,676.4252319335938,,,180000
500.0,695.292724609375,,,190016
,,500.0,642.0015258789062,192000
,,500.0,693.3814086914062,192001
,,500.0,636.4271240234375,192002
,,500.0,588.7985229492188,192003
,,500.0,645.948974609375,192004
,,500.0,741.9325561523438,192005
,,500.0,472.99078369140625,192006
,,500.0,631.408203125,192007
,,500.0,641.470947265625,192008
,,500.0,747.8524169921875,192009
,,500.0,542.9703979492188,192010
,,500.0,512.1138305664062,192011
,,500.0,665.853271484375,192012
,,500.0,650.8016357421875,192013
,,500.0,718.1865234375,192014
,,500.0,609.0556030273438,192015
